Kemayoran,,,,,,,Priok,,,,,,,Halim,,,,,,,Bogor,,,,,,,
TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,KETERANGAN:
10/1/2024,0,4,310,1,C,,10/1/2024,0,4,80,1,C,,10/1/2024,-,-,-,0,-,,10/1/2024,0,11,50,3,C,,8888: Data tidak terukur
10/2/2024,0,5,320,1,C,,10/2/2024,0,5,100,2,C,,10/2/2024,-,-,-,0,-,,10/2/2024,0,7,360,2,C,,9999: Tidak Ada Data (tidak dilakukan pengukuran)
10/3/2024,8888,4,110,1,C,,10/3/2024,0.8,5,70,3,E,,10/3/2024,-,-,-,0,-,,10/3/2024,22,4,20,2,C,,RR: Curah hujan(mm)
10/4/2024,0,6,360,1,C,,10/4/2024,0,6,100,2,C,,10/4/2024,-,-,-,0,-,,10/4/2024,0,13,260,3,C,,ff_x: Kecepatan angin maksimum(m/s)
10/5/2024,0,6,350,2,C,,10/5/2024,0,5,40,2,C,,10/5/2024,-,-,-,0,-,,10/5/2024,89.8,15,130,3,C,,ddd_x: Arah angin saat kecepatan maksimum(°)
10/6/2024,8888,6,320,1,C,,10/6/2024,0,6,50,2,C,,10/6/2024,-,-,-,0,-,,10/6/2024,84.5,8,343,2,C,,ff_avg: Kecepatan angin rata-rata(m/s)
10/7/2024,0,5,140,1,C,,10/7/2024,0,7,90,2,E,,10/7/2024,-,-,-,0,-,,10/7/2024,0,14,25,4,C,,ddd_car: Arah angin terbanyak(°)
10/8/2024,0,6,320,1,C,,10/8/2024,0,6,90,3,E,,10/8/2024,-,-,-,0,-,,10/8/2024,0,8,280,2,C,,
10/9/2024,0,4,300,1,C,,10/9/2024,0,5,40,2,C,,10/9/2024,-,-,-,0,-,,10/9/2024,1.2,9,310,2,C,,
10/10/2024,0,7,320,1,C,,10/10/2024,0,4,40,2,SE,,10/10/2024,-,-,-,0,-,,10/10/2024,3.5,8,350,2,C,,
10/11/2024,0,3,70,1,C,,10/11/2024,0,7,60,3,E,,10/11/2024,-,-,-,0,-,,10/11/2024,14.2,9,10,3,C,,
10/12/2024,0,5,340,1,C,,10/12/2024,0,7,70,2,NE,,10/12/2024,-,-,-,0,-,,10/12/2024,0,8,51,3,C,,
10/13/2024,0,5,340,1,C,,10/13/2024,0,5,100,1,C,,10/13/2024,-,-,-,0,-,,10/13/2024,0,9,320,2,C,,
10/14/2024,0,4,340,1,C,,10/14/2024,0,6,220,2,W,,10/14/2024,-,-,-,0,-,,10/14/2024,65.7,20,170,3,C,,
10/15/2024,2.2,3,240,1,C,,10/15/2024,0,5,60,1,C,,10/15/2024,-,-,-,0,-,,10/15/2024,60.3,9,355,2,C,,
10/16/2024,0,4,330,1,C,,10/16/2024,1,4,60,2,S,,10/16/2024,-,-,-,0,-,,10/16/2024,105.6,10,360,3,N,,
10/17/2024,0,5,330,1,C,,10/17/2024,0.6,4,260,2,C,,10/17/2024,-,-,-,0,-,,10/17/2024,0,6,345,3,S,,
10/18/2024,0,4,310,1,C,,10/18/2024,0,5,10,1,C,,10/18/2024,-,-,-,0,-,,10/18/2024,0,6,20,2,S,,
10/19/2024,0,3,10,1,C,,10/19/2024,0,4,40,2,NE,,10/19/2024,-,-,-,0,-,,10/19/2024,0,6,20,2,C,,
10/20/2024,0,7,290,2,C,,10/20/2024,0,6,220,2,C,,10/20/2024,-,-,-,0,-,,10/20/2024,0,6,305,2,C,,
10/21/2024,0,5,300,1,C,,10/21/2024,0,4,120,2,SE,,10/21/2024,-,-,-,0,-,,10/21/2024,0,10,295,3,C,,
10/22/2024,0,5,320,1,C,,10/22/2024,0,5,50,2,C,,10/22/2024,-,-,-,0,-,,10/22/2024,0,10,20,3,C,,
10/23/2024,0,4,160,1,C,,10/23/2024,0,4,40,2,C,,10/23/2024,-,-,-,0,-,,10/23/2024,0,5,320,1,C,,
10/24/2024,46.6,3,310,1,C,,10/24/2024,23.2,5,110,2,E,,10/24/2024,-,-,-,0,-,,10/24/2024,0,11,350,2,C,,
10/25/2024,5,4,330,1,C,,10/25/2024,67.7,4,100,2,C,,10/25/2024,-,-,-,0,-,,10/25/2024,8.3,8,360,2,C,,
10/26/2024,7.6,5,340,1,C,,10/26/2024,1,6,30,2,C,,10/26/2024,-,-,-,0,-,,10/26/2024,0,7,320,3,C,,
10/27/2024,0,8,330,2,C,,10/27/2024,0,4,80,2,S,,10/27/2024,-,-,-,0,-,,10/27/2024,0,11,360,2,C,,
10/28/2024,0,7,340,1,C,,10/28/2024,0,4,170,1,C,,10/28/2024,-,-,-,0,-,,10/28/2024,3.5,12,20,2,C,,
10/29/2024,0,4,300,1,C,,10/29/2024,0,4,60,1,C,,10/29/2024,-,-,-,0,-,,10/29/2024,13.3,10,310,2,C,,
10/30/2024,0,5,210,1,C,,10/30/2024,0,4,50,2,C,,10/30/2024,-,-,-,0,-,,10/30/2024,11.5,14,180,2,C,,
10/31/2024,0,3,340,1,C,,10/31/2024,0,5,20,1,C,,10/31/2024,-,-,-,0,-,,10/31/2024,10.2,17,80,3,C,,
11/1/2024,0,3,330,1,C,,11/1/2024,0,5,110,2,C,,11/1/2024,-,-,-,0,-,,11/1/2024,17,7,40,2,C,,
11/2/2024,0,10,320,2,C,,11/2/2024,0,6,40,1,C,,11/2/2024,-,-,-,0,-,,11/2/2024,0,14,80,2,C,,
11/3/2024,24.5,5,320,1,C,,11/3/2024,0.3,4,100,1,C,,11/3/2024,-,-,-,0,-,,11/3/2024,34.4,7,230,2,C,,
11/4/2024,18.4,3,30,1,C,,11/4/2024,3.4,3,30,1,C,,11/4/2024,-,-,-,0,-,,11/4/2024,29.2,6,255,2,C,,
11/5/2024,0,6,320,2,C,,11/5/2024,8888,6,40,2,NE,,11/5/2024,-,-,-,0,-,,11/5/2024,7.6,8,280,3,C,,
11/6/2024,14.5,5,100,1,C,,11/6/2024,2.8,5,70,2,NE,,11/6/2024,-,-,-,0,-,,11/6/2024,60.5,8,60,2,C,,
11/7/2024,0,4,300,1,C,,11/7/2024,0,4,200,1,C,,11/7/2024,-,-,-,0,-,,11/7/2024,0,8,40,2,C,,
11/8/2024,0,4,300,1,C,,11/8/2024,0,4,210,2,C,,11/8/2024,-,-,-,0,-,,11/8/2024,70.6,12,60,3,C,,
11/9/2024,0,3,320,1,C,,11/9/2024,0,6,100,2,C,,11/9/2024,-,-,-,0,-,,11/9/2024,8888,21,230,3,S,,
11/10/2024,0,4,300,1,C,,11/10/2024,0,7,30,2,C,,11/10/2024,-,-,-,0,-,,11/10/2024,8888,5,300,1,C,,
